name,sector,years,funding,text
Aira Health,Health Care,2015-2019,$12M,"company aira health. sector health care. what they did personalized asthmaallergy app. why they failed small user base and cash shortage. lesson niche apps need big audiences. causes: no_budget, competition, poor_market_fit, monetization_failure, niche_limits"
Amino,Health Care,2013-2021,$45M,"company amino. sector health care. what they did doctor search and cost estimation. why they failed lost to zocdocgoodrx and slow adoption. lesson narrow focus beats broad. causes: giants, competition, poor_market_fit, monetization_failure"
Arivale,Health Care,2015-2019,$50M,"company arivale. sector health care. what they did personalized health coaching. why they failed high costs and low demand. lesson premium needs mass market. causes: no_budget, poor_market_fit, monetization_failure"
Augmedix,Health Care,2012-2024,$150M,"company augmedix. sector health care. what they did remote medical scribes. why they failed lost to software rivals and acquired. lesson flexibility beats rigidity. causes: giants, competition, acquisition_stagnation"
Avizia,Health Care,2014-2018,$32M,"company avizia. sector health care. what they did telemedicine for hospitals. why they failed outpaced by bigger rivals and acquired. lesson niche needs a moat. causes: giants, competition, acquisition_stagnation"
Babylon Health,Health Care,2013-2023,$635M,"company babylon health. sector health care. what they did aipowered telemedicine. why they failed overexpansion and losses. lesson quality must match scale. causes: giants, no_budget, competition, execution_flaws"
Basis,Health Care,2014-2016,$30M,"company basis. sector health care. what they did health smartwatch. why they failed overheating and competition. lesson reliability is makeorbreak. causes: giants, competition, execution_flaws"
Better,Health Care,2016-2023,$4.5M,"company better. sector health care. what they did mental health for employees. why they failed crowded market and no differentiation. lesson unique value is critical. causes: giants, competition, poor_market_fit"
BetterHelp,Health Care,2013-2017,$31M,"company betterhelp. sector health care. what they did online therapy early. why they failed trust issues and competition. lesson trust comes first. causes: giants, competition, poor_market_fit, toxicity/trust_issues"
BioBeats,Health Care,2014-2020,$7M,"company biobeats. sector health care. what they did stress monitoring wearable. why they failed lost to bigger players and acquired. lesson standout use case needed. causes: giants, competition, acquisition_stagnation"
Call9,Health Care,2015-2019,$34M,"company call9. sector health care. what they did telemedicine for nursing homes. why they failed slow growth and high costs. lesson execution must scale. causes: no_budget, poor_market_fit, monetization_failure, execution_flaws"
Cardiogram,Health Care,2016-2021,$2M,"company cardiogram. sector health care. what they did heart rate analysis app. why they failed monetization and differentiation woes. lesson validation is key. causes: giants, no_budget, competition, poor_market_fit, monetization_failure"
CareSync,Health Care,2011-2018,$48M,"company caresync. sector health care. what they did care coordination platform. why they failed no payer contracts and revenue. lesson need payer buyin. causes: no_budget, poor_market_fit, monetization_failure"
CareZone,Health Care,2013-2020,$161M,"company carezone. sector health care. what they did medication management app. why they failed lost to free tools and sold. lesson defensible revenue matters. causes: giants, competition, acquisition_stagnation, monetization_failure"
Clarityn,Health Care,2016-2020,$20M,"company clarityn. sector health care. what they did ai eye diagnostics. why they failed lost to idx and regulatory delays. lesson regulatory wins are key. causes: giants, competition, execution_flaws, regulatory_pressure"
Clinkle,Health Care,2011-2016,$30M,company clinkle. sector health care. what they did mobile wallet healthadjacent. why they failed leadership and no product. lesson execution over promises. causes: execution_flaws
Cue Health,Health Care,2014-2024,$404M,"company cue health. sector health care. what they did athome diagnostics. why they failed postcovid crash and costs. lesson plan for cycles. causes: no_budget, trend_shifts"
Dopamine Labs,Health Care,2015-2019,$2.5M,"company dopamine labs. sector health care. what they did behavioral tech for apps. why they failed lost focus and faded. lesson focus wins in health. causes: poor_market_fit, execution_flaws"
Doxy.me,Health Care,2013-2018,$5M,"company doxy.me. sector health care. what they did free telemedicine early. why they failed free model unsustainable. lesson monetization is key. causes: giants, no_budget, competition, monetization_failure"
Driver,Health Care,2018-2018,$lowM,"company driver. sector health care. what they did cancer trial matching. why they failed bad pricing and funding. lesson validate willingness to pay. causes: no_budget, poor_market_fit, monetization_failure, overhype"
Dthera Sciences,Health Care,2016-2020,$3M,"company dthera sciences. sector health care. what they did alzheimers therapeutic. why they failed small market and funding. lesson niche needs deep pockets. causes: no_budget, poor_market_fit, niche_limits"
Eargo,Health Care,2010-2023,$316M,"company eargo. sector health care. what they did hearing aids. why they failed fraud allegations and competition. lesson trust is king. causes: giants, competition, toxicity/trust_issues"
FitStar,Health Care,2013-2015,$5M,"company fitstar. sector health care. what they did fitness app. why they failed lost steam and acquired. lesson killer edge needed. causes: giants, competition, acquisition_stagnation"
Ginger,Health Care,2011-2021,$220M,"company ginger. sector health care. what they did mental health support. why they failed high costs and merged. lesson profitability matters. causes: giants, no_budget, competition, acquisition_stagnation"
Goldfinch Bio,Health Care,2016-2023,$209M,"company goldfinch bio. sector health care. what they did precision kidney meds. why they failed funding dried up and slow progress. lesson timing is critical. causes: no_budget, execution_flaws, trend_shifts"
Healx,Health Care,2014-2023,$110M,"company healx. sector health care. what they did ai for rare diseases. why they failed funding crunch and slow results. lesson deliver or downsize. causes: no_budget, execution_flaws, trend_shifts"
Health IQ,Health Care,2014-2023,$136M,"company health iq. sector health care. what they did healthbased insurance. why they failed risk models and scrutiny. lesson math and compliance matter. causes: execution_flaws, toxicity/trust_issues, regulatory_pressure"
HealthRiser,Health Care,2015-2019,$8M,"company healthriser. sector health care. what they did posture wearable. why they failed lost to fitbit and costs. lesson mass appeal needed. causes: giants, no_budget, competition, niche_limits"
HealthSpot,Health Care,2012-2016,$43M,"company healthspot. sector health care. what they did telemedicine kiosks. why they failed lost to software rivals. lesson flexibility beats rigidity. causes: giants, no_budget, competition"
HealthTap+,Health Care,2010-2017,$88M,"company healthtap. sector health care. what they did subscription telemedicine. why they failed low retention and pivot. lesson sticky engagement needed. causes: giants, competition, poor_market_fit"
HealthifyMe,Health Care,2011-2018,$125M,"company healthifyme. sector health care. what they did fitness app early. why they failed slow retention and pivot. lesson evolve or lose. causes: giants, competition, poor_market_fit"
